1910,Pio Carlo Nevi
1910,Montés y Manrique
1910,Песни сибирской каторги (1908-1920)
1910,Песни Сибирской каторги
1910,Hart Wand
1910,Lovey's String Band
1910,Γιάγκος Ψαμαθιανός
1910,Georges Méliès
1910,Pio Carlo Nevi
1910,Montés y Manrique
1910,Песни сибирской каторги (1908-1920)
1910,Песни Сибирской каторги
1920,Annette Hanshaw
1920,The Boswell Sisters
1920,Victoria Spivey
1920,Marion Harris
1920,Mamie Smith
1920,Eddie Cantor
1920,Sophie Tucker
1920,Bessie Smith
1920,Lucille Bogan
1920,Mistinguett
1920,Jelly Roll Morton
1920,Comedian Harmonists
1920,Ruth Etting
1920,Bix Beiderbecke
1920,Ethel Waters
1920,Ma Rainey
1920,Helen Kane
1920,Clarence Williams' Blue Five
1920,Blind Lemon Jefferson
1920,Sidney Bechet
1920,Josephine Baker
1920,McKinney's Cotton Pickers
1920,Fats Waller
1920,Louis Armstrong & His Hot Seven
1920,Mamie Smith & Her Jazz Hounds
1920,Emmett Miller
1920,Fletcher Henderson
1920,Coleman Hawkins
1920,Al Jolson
1920,King Oliver
1920,Blind Blake
1920,Waring's Pennsylvanians
1920,Savoy Orpheans
1920,Alberta Hunter
1920,Paul Whiteman
1920,Clara Smith
1920,Gus Cannon
1920,Jack Hylton
1920,Carlos Gardel
1920,Blind Willie Johnson
1920,Paul Whiteman & His Orchestra
1920,Carolina Club Orchestra
1920,Ted Lewis and his Band
1920,Original Dixieland Jazz Band
1920,Mick's Washboard
1920,Ida Cox
1920,California Ramblers
1920,King Oliver's Creole Jazz Band
1920,Eddie Lang
1920,Karl Gerhard
1920,Fletcher Henderson and His Orchestra
1920,The Dorsey Brothers
1920,Gladys Bentley
1920,Jean Goldkette
1920,Bert Kalmar
1920,Bernard Addison
1920,Bessie Tucker
1920,Jelly Roll Morton
1920,Various Artists
1920,The Carter Family
1920,Fanny Brice
1920,Gene Austin
1920,Dock Boggs
1920,Chick Webb
1920,Louis Armstrong And His Hot Seven
1920,Dixieland Jug Blowers
1920,Georgia Melodians
1920,New Orleans Rhythm Kings
1920,Original Tuxedo Jazz Orchestra
1920,Connee Boswell
1920,Mildred Bailey
1920,Lotte Lenya
1920,Александр Вертинский
1920,Anton Webern
1920,Eva Taylor
1920,Rudy Vallee
1920,Jack Hylton & His Orchestra
1920,Butterbeans & Susie
1920,Jelly Roll Morton Trio
1920,Jelly Roll Morton's Red Hot Peppers
1920,Jelly Roll Morton & His Red Hot Peppers
1920,Irving Berlin
1920,Vaughn DeLeath
1920,Jabbo Smith's Rhythm Aces
1920,Arthur Fields
1920,The Original Memphis Five
1920,Buddy Clark
1920,Firehouse Five Plus Two
1920,Belle Baker
1920,Rosa Henderson
1920,R. Crumb and His Cheap Suit Serenaders
1920,Aileen Stanley
1920,Frankie Trumbauer And His Orchestra
1920,Red Nichols
1920,Pola Negri
1920,Leroy Carr & Scrapper Blackwell
1920,Nick Lucas
1920,Jane Green
1920,The Wolverine Orchestra
1920,Jan Garber
1920,Billy Jones & Ernest Hare
1920,Mamie Smith And Her Jazz Hounds
1920,King Oliver
1920,Mack Gordon
1920,Walter Melrose
1920,Leo Monosson
1920,"Riddle, Mia & Her Band"
1920,Leon Redbone
1920,Maurice Chevalier
1920,Paul Robeson
1920,Fred Waring & His Pennsylvanians
1920,Frankie Lymon and The Teenagers
1920,Marian Anderson
1920,Jimmy Durante
1920,Jimmy Dorsey
1920,C.W. Stoneking
1920,Adam Carroll
1920,Bob Wills
1920,James P. Johnson
1920,Jimmie Lunceford
1920,Guillermo Portabales
1920,Kurt Weill
1920,Memphis Jug Band
1920,Trio Matamoros
1920,Tommy Johnson
1920,Damia
1920,Sippie Wallace
1920,Dooley Wilson
1920,Jascha Heifetz
1920,Yehudi Menuhin
1920,Blue Lu Barker
1920,Greg Poppleton & his Bakelite Dance Band
1920,Eddie Condon
1920,Tampa Red
1920,Irving Aaronson And His Commanders
1920,Louis Armstrong and His Hot Five
1920,Johnny Bayersdorffer And His Jazzola Novelty Orchestra
1920,Jimmy Bertrand's Washboard Wizards
1920,Boston Orchestra
1920,Chicago Rhythm Kings
1920,Johnny De Droit And His New Orleans Orchestra
1920,Clarence Williams' Washboard Four
1920,Clarence Williams' Washboard Five
1920,Clarence Williams' Jazz Kings
1920,Clarence Williams and His Bottomland Orchestra
1920,The Washingtonians
1920,Ted Weems and his Orchestra
1920,Bud Freeman and His Orchestra
1920,Cook And His Dreamland Orchestra
1920,Detroit Melodists
1920,Thomas Morris and His Seven Hot Babies
1920,Levee Serenaders
1920,Lopez and Hamilton's Kings of Harmony Orchestra
1920,Original Crescent City Jazzers
1920,Original Memphis Five
1920,Original Wolverines
1920,Paul Howard's Quality Serenaders
1920,Ray Miller And His Orchestra
1920,Red Nichols And His Five Pennies
1920,Bennie Moten's Kansas City Orchestra
1920,King Oliver's Dixie Syncopators
1920,King Oliver's Jazz Band
1920,Kid Ory
1920,Groucho Marx
1920,Noël Coward
1920,Chick Webb & His Orchestra
1920,Friars Society Orchestra
1920,Cliff Edwards
1920,Lucha Reyes
1920,The Thought Criminals
1920,Les Paul
1920,Laurel & Hardy
1920,Xavier Cugat and His Orchestra
1920,Fréhel
1920,Carlos Montoya
1920,Xavier Cugat
1920,Bunk Johnson
1920,Irene Scruggs
1920,Muggsy Spanier
1920,Bunny Berigan
1920,Lizzie Miles
1920,Bumble Bee Slim
1920,Louis Davids
1920,Don Redman and His Orchestra
1920,Maurice Ravel
1920,Max Steiner
1920,G.M.Orchestra
1920,Bix Beiderbecke And Frankie Trumbauer
1920,Sara Martin
1920,Django Reinhardt & Stéphane Grappelli
1920,Freddie Keppard's Jazz Cardinals
1920,Barney Bigard
1920,Billy Jones
1920,Palast Orchester mit Max Raabe
1920,Duke Ellington
1920,Lucille Hegamin
1920,Oum Kalthoum
1920,Charlie Spivak and his Orchestra
1920,Manuel María Ponce
1920,Ρόζα Εσκενάζυ
1920,Charles Penrose
1920,Original Dixie Rag Pickers
1920,Bennie Moten
1920,Amédé Ardoin
1920,Yerkes Jazarimba Orchestra
1920,The Dixie Hummingbirds
1920,Ben Bernie
1920,Ambrose & His Orchestra
1920,Lillian Roth
1920,Trixie Smith
1930,The Boswell Sisters
1930,Al Bowlly
1930,Benny Goodman
1930,Ruth Etting
1930,Marion Harris
1930,Fats Waller
1930,Comedian Harmonists
1930,Fletcher Henderson
1930,Joséphine Baker
1930,Teddy Wilson
1930,The Andrews Sisters
1930,Zarah Leander
1930,Annette Hanshaw
1930,Bunny Berigan
1930,Jack Hylton & His Orchestra
1930,Lydia Mendoza
1930,Lale Andersen
1930,Blue Sky Boys
1930,Fred Astaire
1930,The Mills Brothers
1930,Jelly Roll Morton
1930,G.M.Orchestra
1930,Connie Boswell
1930,Spike Hughes
1930,Henry Hall & His Orchestra
1930,Cole Porter
1930,Billy Eckstine
1930,Helen Kane
1930,Frankie Yankovic
1930,Charlie Christian
1930,Damia
1930,Jack Teagarden
1930,Connee Boswell
1930,Mildred Bailey
1930,Benny Goodman & His Orchestra
1930,Victoria Spivey
1930,Jane Froman
1930,Eddie Cantor
1930,Mildred Bailey & Her Swing Band
1930,Carmen Miranda
1930,Carroll Gibbons & The Savoy Hotel Orpheans
1930,Rita Abatzi
1930,"Leslie ""Hutch"" Hutchinson"
1930,Harry Revel
1930,Mack Gordon
1930,Various Artists
1930,Paul Robeson
1930,Frankie Lymon and The Teenagers
1930,Gene Austin
1930,Gene Autry
1930,Martha Tilton
1930,Jimmy Dorsey
1930,Adam Carroll
1930,Bob Wills
1930,Jimmie Lunceford
1930,Ethel Merman
1930,Irene Dunne
1930,Al Jolson
1930,Ethel Waters
1930,Sophie Tucker
1930,McKinney's Cotton Pickers
1930,Greg Poppleton & his Bakelite Dance Band
1930,Mick's Washboard
1930,Eddie Condon
1930,Charlie Barnet
1930,The Cellar Boys
1930,King Oliver's Dixie Syncopators
1930,Helen O'connell
1930,Bob Crosby
1930,Danny Kaye With The Andrews Sisters
1930,Ray Noble
1930,Cab Calloway & His Orchestra
1930,Roy Acuff
1930,Shirley Temple
1930,Friars Society Orchestra
1930,Paul Whiteman
1930,Fréhel
1930,Muggsy Spanier
1930,Delmore Brothers
1930,Lucille Bogan
1930,Harmony Sisters
1930,Don Redman and His Orchestra
1930,The Blue Sky Boys
1930,Maurice Ravel
1930,Milton Brown
1930,Eddie Lang
1930,Patsy Montana
1930,Rudy Vallee
1930,Lucienne Boyer
1930,Larry Clinton
1930,Django Reinhardt & Stéphane Grappelli
1930,Tino Rossi
1930,Hans Albers
1930,Joe Venuti
1930,Kay Kyser & His Orchestra
1930,Una Mae Carlisle
1930,Erskine Hawkins
1930,Ρόζα Εσκενάζυ
1930,Valaida Snow
1930,Pee Wee Russell
1930,Bennie Moten
1930,Bobby Hackett
1930,Glen Gray
1930,Mills Blue Rhythm Band
1930,Vassilis Tsitsanis
1930,Fletcher Henderson and His Orchestra
1930,Lil Johnson
1930,Elsie Carlisle
1930,Lillian Roth
1930,Alice Faye
1930,Jeanette MacDonald
1930,Ginger Rogers
1930,Randolph Sutton
1930,Arthur Crudup
1930,Johnny Temple
1930,Arnold Bax
1930,The Cats & The Fiddle
1930,Aileen Stanley
1930,Ella Fitzgerald and Her Savoy Eight
1930,Mae West
1930,Hal Kemp and his Orchestra
1930,Oscar Alemán
1930,Georg Malmstén
1930,Dorsey Brothers & Their Orchestra
1930,Don Voorhees & His Orchestra
1930,Ella Fitzgerald & Chick Webb & His Orchestra
1930,Chick Webb & His Orchestra feat. Ella Fitzgerald
1930,Jack Hylton and His Orchestra
1930,Kurt Tucholsky
1930,The Revelers
1930,Eero Väre
1930,Harold Arlen
1930,Walter Huston
1930,Pyotr Leshchenko
1930,Harry Roy & His Orchestra
1930,Lew Stone & His Band
1930,Sergei Vasilievich Rachmaninoff
1930,Ina Ray Hutton and Her Melodears
1930,Στελλάκης Περπινιάδης
1930,The Blue Grass Boys
1930,Bernard Addison
1930,Sam Browne
1930,Nelson Eddy
1930,The Ramblers
1930,Carroll Gibbons Hildegarde & Her Boy Friends
1930,Κώστας Ρούκουνας
1930,George Burns
1930,Whispering Jack Smith
1930,Eddie Durham
1930,Ray Henderson
1930,Busby Berkeley
1930,The Yacht Club Boys
1930,Dick Mine
1930,King Oliver and His Orchestra
1930,Jack Buchanan
1930,Leo Smit
1930,Greg Poppleton
1930,The Hot Air-Men
1930,Top Hat (Turner)
1930,Jan Garber; Jan Garber & His Greater Columbia Recording Orchestra
1930,Grete Mosheim
1930,Joan Blondell & The Chorines / Busby Berkeley
1930,Ρίτα Αμπατζή
1930,Phil Doleman
1930,Louis de Vries
1930,Norske Legion
1930,Sophie Tucker w/Miff Mole's Molers
1930,Irving Mills And His Hotsy Totsy
1930,"Irving Kaufman, Adrian Schubert & His Salon Orchestra"
1930,Bando de Tangarás
1930,Alfred Sällik ja The Murphy Band
1930,Aarne Viisimaa ja orkester
1930,Ляля Чёрная
1930,The Avalon Boys
1930,zPotHeads
1930,Zbigniew Rakowiecki
1930,Greg Poppleton & the Bakelite Broadcasters
1930,Jimmy Messene
1930,Django Reinhardt & The Hot Club Of France Quintet
1930,Harlem Hot Chocolates
1930,King Oliver & Orchestra
1930,Cab Calloway
1930,Mae Questel
1930,"James Stewart, Marjorie Lane (for Eleanor Powell)"
1930,Pat O'Malley
1930,Gracie Allen
1930,Tallulah Bankhead
1930,Dolly Dawn
1930,Effisio Melis
1930,Cliff Ukelele Ike Edwards
1930,Hit Of The Week Orchestra
1930,The New York Twelve
1930,Leola Felton
1930,Benrus Radio Orchestra
1930,Greg Holmes
1930,Denis Lawson
1930,V.I. Agapkin
1930,Harry Roy and His Mayfair Hotel Orchestra
1930,Les Allen
1930,Jim Riggs
1930,The Fodies
1930,Gene Kardos and His Orchestra
1930,Frank Teschmacher
1930,Αντώνης Διαμαντίδης (Νταλγκάς)
1930,Jitterbug Vipers
1930,The Blue Lyres
1930,Michael Afanasyev
1930,Scrappy Cartoon
1930,Django Reinhardt
1930,Alan Gresik Swing Shift Orchestra
1940,The Andrews Sisters
1940,Benny Goodman & His Orchestra
1940,Glenn Miller
